,artist,change,lastPos,peakPos,rank,spotifyID,spotifyLink,title,videoLink,weeks,date
0,Ed Sheeran,Hot Shot Debut,0,1,1,0FE9t6xYkqWXU2ahLh6D8X,https://embed.spotify.com/?uri=spotify:track:0FE9t6xYkqWXU2ahLh6D8X,Shape Of You,,1,2017-01-28
1,Migos Featuring Lil Uzi Vert,-1,1,1,2,1FvU97lrWOG2NRxErh6OZz,https://embed.spotify.com/?uri=spotify:track:1FvU97lrWOG2NRxErh6OZz,Bad And Boujee,,9,2017-01-28
2,Rae Sremmurd Featuring Gucci Mane,-1,2,1,3,6fujklziTHa8uoM5OQSfIo,https://embed.spotify.com/?uri=spotify:track:6fujklziTHa8uoM5OQSfIo,Black Beatles,http://cache.vevo.com/assets/html/embed.html?video=USUV71602395&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,18,2017-01-28
3,The Weeknd Featuring Daft Punk,0,4,1,4,2IY7eOUDjw2ArKYxKa2jXc,https://embed.spotify.com/?uri=spotify:track:2IY7eOUDjw2ArKYxKa2jXc,Starboy,http://cache.vevo.com/assets/html/embed.html?video=USUMV1600416&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,17,2017-01-28
4,The Chainsmokers Featuring Halsey,-2,3,1,5,7BKLCZ1jbUBVqRi2FVlTVw,https://embed.spotify.com/?uri=spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,Closer,http://cache.vevo.com/assets/html/embed.html?video=USQX91602043&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,24,2017-01-28
5,Ed Sheeran,New,0,6,6,66qlqxhEMpSHOzjRK4il0b,https://embed.spotify.com/?uri=spotify:track:66qlqxhEMpSHOzjRK4il0b,Castle On The Hill,,1,2017-01-28
6,Bruno Mars,-2,5,4,7,2gFvRmQiWg9fN9i74Q0aiw,https://embed.spotify.com/?uri=spotify:track:2gFvRmQiWg9fN9i74Q0aiw,24K Magic,http://cache.vevo.com/assets/html/embed.html?video=USATV1601750&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,14,2017-01-28
7,Maroon 5 Featuring Kendrick Lamar,-1,7,7,8,0AKejOKlGdiB53QpwAeenO,https://embed.spotify.com/?uri=spotify:track:0AKejOKlGdiB53QpwAeenO,Don't Wanna Know,http://cache.vevo.com/assets/html/embed.html?video=USUV71603046&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,14,2017-01-28
8,Ariana Grande Featuring Nicki Minaj,-3,6,4,9,1pKeFVVUOPjFsOABub0OaV,https://embed.spotify.com/?uri=spotify:track:1pKeFVVUOPjFsOABub0OaV,Side To Side,http://cache.vevo.com/assets/html/embed.html?video=USUV71601190&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,20,2017-01-28
9,Machine Gun Kelly x Camila Cabello,0,10,9,10,56cswAa9WdFBsjsTyPBAKA,https://embed.spotify.com/?uri=spotify:track:56cswAa9WdFBsjsTyPBAKA,Bad Things,http://cache.vevo.com/assets/html/embed.html?video=USUV71603125&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,11,2017-01-28
10,Drake,-2,9,9,11,6NMNgWgEAzde5M8U3lc6FN,https://embed.spotify.com/?uri=spotify:track:6NMNgWgEAzde5M8U3lc6FN,Fake Love,,12,2017-01-28
11,Zayn / Taylor Swift,+2,14,6,12,6yIdwnpDHufLWgQcveTPMk,https://embed.spotify.com/?uri=spotify:track:6yIdwnpDHufLWgQcveTPMk,I Don't Wanna Live Forever (Fifty Shades Darker),,5,2017-01-28
12,Alessia Cara,-1,12,12,13,0wI7QkCcs8FUQE1OkXUIqd,https://embed.spotify.com/?uri=spotify:track:0wI7QkCcs8FUQE1OkXUIqd,Scars To Your Beautiful,http://cache.vevo.com/assets/html/embed.html?video=USUV71501943&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,20,2017-01-28
13,DJ Snake Featuring Justin Bieber,-6,8,4,14,0lYBSQXN6rCTvUZvg9S0lU,https://embed.spotify.com/?uri=spotify:track:0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,,23,2017-01-28
14,Amine,+1,16,11,15,34dVqrAW35mn6dpgfzntOS,https://embed.spotify.com/?uri=spotify:track:34dVqrAW35mn6dpgfzntOS,Caroline,,19,2017-01-28
15,Big Sean,+2,18,16,16,206uaQyzb8kOiZ7rHw9wCn,https://embed.spotify.com/?uri=spotify:track:206uaQyzb8kOiZ7rHw9wCn,Bounce Back,http://cache.vevo.com/assets/html/embed.html?video=USUV71603363&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,10,2017-01-28
16,Zay Hilfigerrr & Zayion McCall,-6,11,5,17,1lItf5ZXJc1by9SbPeljFd,https://embed.spotify.com/?uri=spotify:track:1lItf5ZXJc1by9SbPeljFd,Juju On That Beat (TZ Anthem),http://cache.vevo.com/assets/html/embed.html?video=USATV1601824&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,16,2017-01-28
17,twenty one pilots,-5,13,2,18,6i0V12jOa3mr6uu4WYhUBr,https://embed.spotify.com/?uri=spotify:track:6i0V12jOa3mr6uu4WYhUBr,Heathens,,30,2017-01-28
18,Rihanna,+2,21,19,19,7HRHMuUTY7Dk4mw7CjS36i,https://embed.spotify.com/?uri=spotify:track:7HRHMuUTY7Dk4mw7CjS36i,Love On The Brain,,13,2017-01-28
19,D.R.A.M. Featuring Lil Yachty,-5,15,5,20,0qy5D3OJre7SPJNMOL9I71,https://embed.spotify.com/?uri=spotify:track:0qy5D3OJre7SPJNMOL9I71,Broccoli,,31,2017-01-28
20,Hailee Steinfeld & Grey Featuring Zedd,-4,17,12,21,6DG2g1UhROp5pnM8fx7zH2,https://embed.spotify.com/?uri=spotify:track:6DG2g1UhROp5pnM8fx7zH2,Starving,http://cache.vevo.com/assets/html/embed.html?video=USUV71601940&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,24,2017-01-28
21,The Weeknd Featuring Daft Punk,+3,25,22,22,7enFbf4reUpo2CCQYpwoHC,https://embed.spotify.com/?uri=spotify:track:7enFbf4reUpo2CCQYpwoHC,I Feel It Coming,,8,2017-01-28
22,Shawn Mendes,-4,19,17,23,1oHCgpheYhmhQbhCmbhpWn,https://embed.spotify.com/?uri=spotify:track:1oHCgpheYhmhQbhCmbhpWn,Mercy,http://cache.vevo.com/assets/html/embed.html?video=USUV71602267&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,17,2017-01-28
23,Jon Bellion,-2,22,16,24,5wQRNkb7OhzJoT1P0OZ4Rw,https://embed.spotify.com/?uri=spotify:track:5wQRNkb7OhzJoT1P0OZ4Rw,All Time Low,,14,2017-01-28
24,Justin Timberlake,-5,20,1,25,6JV2JOEocMgcZxYSZelKcc,https://embed.spotify.com/?uri=spotify:track:6JV2JOEocMgcZxYSZelKcc,Can't Stop The Feeling!,,36,2017-01-28
25,Shawn Mendes,-3,23,6,26,1mSlftOO1dlDRXAyOE0Sbd,https://embed.spotify.com/?uri=spotify:track:1mSlftOO1dlDRXAyOE0Sbd,Treat You Better,http://cache.vevo.com/assets/html/embed.html?video=USUV71601543&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,32,2017-01-28
26,Sia Featuring Sean Paul,-1,26,1,27,7BPw9h8vCIX94N0rjFU12S,https://embed.spotify.com/?uri=spotify:track:7BPw9h8vCIX94N0rjFU12S,Cheap Thrills,,48,2017-01-28
27,Niall Horan,-1,27,20,28,5dTJMpqiELczVuHJP3OAEu,https://embed.spotify.com/?uri=spotify:track:5dTJMpqiELczVuHJP3OAEu,This Town,,16,2017-01-28
28,Keith Urban,+1,30,24,29,6wycnu8FWXsj68ig7BEot9,https://embed.spotify.com/?uri=spotify:track:6wycnu8FWXsj68ig7BEot9,Blue Ain't Your Color,http://cache.vevo.com/assets/html/embed.html?video=USUV71601529&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,18,2017-01-28
29,John Legend,+1,31,23,30,6hdkw1wzhIRYPlYDUtCY5m,https://embed.spotify.com/?uri=spotify:track:6hdkw1wzhIRYPlYDUtCY5m,Love Me Now,http://cache.vevo.com/assets/html/embed.html?video=USSM21601580&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,12,2017-01-28
30,James Arthur,+6,37,31,31,1Pw5C4N6Fn5E4mGCxmbbVa,https://embed.spotify.com/?uri=spotify:track:1Pw5C4N6Fn5E4mGCxmbbVa,Say You Won't Let Go,http://cache.vevo.com/assets/html/embed.html?video=DEC691600671&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,12,2017-01-28
31,The Chainsmokers Featuring Daya,-3,29,3,32,1i1fxkWeaMmKEB4T7zqbzK,https://embed.spotify.com/?uri=spotify:track:1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,http://cache.vevo.com/assets/html/embed.html?video=USQX91600425&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,48,2017-01-28
32,Adele,+5,38,33,33,42RxuXnd94CPWEPJjZIGWl,https://embed.spotify.com/?uri=spotify:track:42RxuXnd94CPWEPJjZIGWl,Water Under The Bridge,,10,2017-01-28
33,Martin Garrix & Bebe Rexha,-6,28,24,34,23L5CiUhw2jV1OIMwthR3S,https://embed.spotify.com/?uri=spotify:track:23L5CiUhw2jV1OIMwthR3S,In The Name Of Love,,22,2017-01-28
34,Sia Featuring Kendrick Lamar,-3,32,18,35,3XIIOCu6B8PuGq5j61asEM,https://embed.spotify.com/?uri=spotify:track:3XIIOCu6B8PuGq5j61asEM,The Greatest,http://cache.vevo.com/assets/html/embed.html?video=USRV81600544&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,19,2017-01-28
35,21 Savage & Metro Boomin Featuring Future,0,36,36,36,6fwdbPMwP1zVStm8FybmkO,https://embed.spotify.com/?uri=spotify:track:6fwdbPMwP1zVStm8FybmkO,X,,18,2017-01-28
36,Rob $tone Featuring J. Davi$ & Spooks,-2,35,29,37,5uDASfU19gDxSjW8cnCaBp,https://embed.spotify.com/?uri=spotify:track:5uDASfU19gDxSjW8cnCaBp,Chill Bill,,24,2017-01-28
37,Major Lazer Featuring Justin Bieber & MO,-4,34,2,38,7zsXy7vlHdItvUSH8EwQss,https://embed.spotify.com/?uri=spotify:track:7zsXy7vlHdItvUSH8EwQss,Cold Water,,25,2017-01-28
38,Young M.A,-15,24,19,39,0D21XvHcVsIvJM6FcGY2BT,https://embed.spotify.com/?uri=spotify:track:0D21XvHcVsIvJM6FcGY2BT,OOOUUU,,20,2017-01-28
39,Lil Uzi Vert,0,40,40,40,2ANLarE8yHVsLWW21nj79M,https://embed.spotify.com/?uri=spotify:track:2ANLarE8yHVsLWW21nj79M,You Was Right,http://cache.vevo.com/assets/html/embed.html?video=USATV1601008&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,27,2017-01-28
40,gnash Featuring Olivia O'Brien,-8,33,10,41,7vRriwrloYVaoAe3a9wJHe,https://embed.spotify.com/?uri=spotify:track:7vRriwrloYVaoAe3a9wJHe,I Hate U I Love U,,39,2017-01-28
41,KYLE Featuring Lil Yachty,+20,62,42,42,0WjYgf4qH3B0v0HmW61doL,https://embed.spotify.com/?uri=spotify:track:0WjYgf4qH3B0v0HmW61doL,iSpy,,3,2017-01-28
42,Little Big Town,+1,44,43,43,0jMikeoKkkSOby4ofddqYs,https://embed.spotify.com/?uri=spotify:track:0jMikeoKkkSOby4ofddqYs,Better Man,http://cache.vevo.com/assets/html/embed.html?video=USUMV1600448&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,11,2017-01-28
43,Gucci Mane Featuring Drake,+8,52,41,44,5tFep7dXGd7vEJ668wTPux,https://embed.spotify.com/?uri=spotify:track:5tFep7dXGd7vEJ668wTPux,Both,,4,2017-01-28
44,Chris Brown Featuring Usher & Gucci Mane,+8,53,45,45,05Z7jet4VDNVgNQWcYHnrk,https://embed.spotify.com/?uri=spotify:track:05Z7jet4VDNVgNQWcYHnrk,Party,http://cache.vevo.com/assets/html/embed.html?video=USRV81600860&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,4,2017-01-28
45,21 Savage & Metro Boomin,-3,43,43,46,4gmmRb6bZJffOOiww1JGTO,https://embed.spotify.com/?uri=spotify:track:4gmmRb6bZJffOOiww1JGTO,No Heart,,12,2017-01-28
46,The Weeknd,+2,49,16,47,4RhGCDt69efGdC1SxJRI5r,https://embed.spotify.com/?uri=spotify:track:4RhGCDt69efGdC1SxJRI5r,Party Monster,http://cache.vevo.com/assets/html/embed.html?video=USUMV1600643&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,8,2017-01-28
47,J. Cole,-1,47,7,48,6I6NX6tjGsxFAsIfGzY9lJ,https://embed.spotify.com/?uri=spotify:track:6I6NX6tjGsxFAsIfGzY9lJ,Deja Vu,,5,2017-01-28
48,Carrie Underwood,-1,48,48,49,5qRRiqndqXaq2QBudIrkYU,https://embed.spotify.com/?uri=spotify:track:5qRRiqndqXaq2QBudIrkYU,Dirty Laundry,http://cache.vevo.com/assets/html/embed.html?video=GBCTA1600019&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,13,2017-01-28
49,Future Featuring Drake,-5,45,14,50,3V8sM5OOG6YfDuDLa2IIYJ,https://embed.spotify.com/?uri=spotify:track:3V8sM5OOG6YfDuDLa2IIYJ,Used To This,http://cache.vevo.com/assets/html/embed.html?video=USSM21601704&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,10,2017-01-28
50,Clean Bandit Featuring Sean Paul & Anne-Marie,+10,61,51,51,5knuzwU65gJK7IF5yJsuaW,https://embed.spotify.com/?uri=spotify:track:5knuzwU65gJK7IF5yJsuaW,Rockabye,,6,2017-01-28
51,Florida Georgia Line Featuring Tim McGraw,-10,42,30,52,2cuGAe3C8BHJN57JASaS3P,https://embed.spotify.com/?uri=spotify:track:2cuGAe3C8BHJN57JASaS3P,May We All,http://cache.vevo.com/assets/html/embed.html?video=QM3E21602033&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,20,2017-01-28
52,Blake Shelton,+1,54,53,53,5sjIhQzNljMVrDklI91ezp,https://embed.spotify.com/?uri=spotify:track:5sjIhQzNljMVrDklI91ezp,A Guy With A Girl,,9,2017-01-28
53,Shakira Featuring Maluma,-3,51,51,54,1WniHvhq9zTkny0WvGXX8o,https://embed.spotify.com/?uri=spotify:track:1WniHvhq9zTkny0WvGXX8o,Chantaje,,9,2017-01-28
54,Fitz And The Tantrums,+1,56,55,55,0y3fi7fknIXOxnkbUgzT3n,https://embed.spotify.com/?uri=spotify:track:0y3fi7fknIXOxnkbUgzT3n,HandClap,http://cache.vevo.com/assets/html/embed.html?video=USATV1600082&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,16,2017-01-28
55,Thomas Rhett,+1,57,56,56,0CexLaYHQrvcTZZb8Ra54e,https://embed.spotify.com/?uri=spotify:track:0CexLaYHQrvcTZZb8Ra54e,Star Of The Show,http://cache.vevo.com/assets/html/embed.html?video=USLXJ1607339&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,11,2017-01-28
56,Brett Eldredge,-11,46,46,57,1XazlqB4YAtvouCmJPWXlM,https://embed.spotify.com/?uri=spotify:track:1XazlqB4YAtvouCmJPWXlM,Wanna Be That Song,http://cache.vevo.com/assets/html/embed.html?video=USATV1601120&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,15,2017-01-28
57,Jon Pardi,+1,59,58,58,7f08qp3HROTkfrtNpiYGGo,https://embed.spotify.com/?uri=spotify:track:7f08qp3HROTkfrtNpiYGGo,Dirt On My Boots,,6,2017-01-28
58,Alessia Cara,-1,58,58,59,5EbX5xL3O2xT8FxCpYzgUO,https://embed.spotify.com/?uri=spotify:track:5EbX5xL3O2xT8FxCpYzgUO,How Far I'll Go,,6,2017-01-28
59,Marshmello,+12,72,60,60,12mGwph2YzDIlChtq3EdXP,https://embed.spotify.com/?uri=spotify:track:12mGwph2YzDIlChtq3EdXP,Alone,,7,2017-01-28
60,PnB Rock,-1,60,51,61,4HUIsMWVGNHsxlhbc3YQ5y,https://embed.spotify.com/?uri=spotify:track:4HUIsMWVGNHsxlhbc3YQ5y,Selfish,,10,2017-01-28
61,Big Sean,+15,77,62,62,6Kd4EPrY9A4WBUFy5JaqEc,https://embed.spotify.com/?uri=spotify:track:6Kd4EPrY9A4WBUFy5JaqEc,Moves,http://cache.vevo.com/assets/html/embed.html?video=USUV71603758&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,3,2017-01-28
62,Bebe Rexha,+31,94,63,63,1FUViuNSldssMIawrOXF2i,https://embed.spotify.com/?uri=spotify:track:1FUViuNSldssMIawrOXF2i,I Got You,,2,2017-01-28
63,Rae Sremmurd,+7,71,64,64,6mapJIPnQ23RTAevUoE0DL,https://embed.spotify.com/?uri=spotify:track:6mapJIPnQ23RTAevUoE0DL,Swang,,4,2017-01-28
64,Dustin Lynch,+4,69,65,65,39iBnqMJUlA6aHbfLFEf7B,https://embed.spotify.com/?uri=spotify:track:39iBnqMJUlA6aHbfLFEf7B,Seein' Red,http://cache.vevo.com/assets/html/embed.html?video=US58E1693556&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,3,2017-01-28
65,Noah Cyrus Featuring Labrinth,-11,55,55,66,2BrzlUj1u1CtvaJDGIKpsP,https://embed.spotify.com/?uri=spotify:track:2BrzlUj1u1CtvaJDGIKpsP,Make Me (Cry),http://cache.vevo.com/assets/html/embed.html?video=QM33K1590026&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,5,2017-01-28
66,Auli'i Cravalho,-26,41,41,67,6mb6lVLNrcUgLnEN8QnDJd,https://embed.spotify.com/?uri=spotify:track:6mb6lVLNrcUgLnEN8QnDJd,How Far I'll Go,,7,2017-01-28
67,Train,0,68,68,68,3ZMFrvkNgwwMfPdX3aThYs,https://embed.spotify.com/?uri=spotify:track:3ZMFrvkNgwwMfPdX3aThYs,Play That Song,http://cache.vevo.com/assets/html/embed.html?video=USSM21601725&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,7,2017-01-28
68,Drake Featuring 21 Savage,-6,63,28,69,4ckuS4Nj4FZ7i3Def3Br8W,https://embed.spotify.com/?uri=spotify:track:4ckuS4Nj4FZ7i3Def3Br8W,Sneakin',,12,2017-01-28
69,J. Cole,-6,64,13,70,0utlOiJy2weVl9WTkcEWHy,https://embed.spotify.com/?uri=spotify:track:0utlOiJy2weVl9WTkcEWHy,Neighbors,,5,2017-01-28
70,DJ Luke Nasty,+2,73,71,71,5qi7piHIt9zwTYYBnIvfNZ,https://embed.spotify.com/?uri=spotify:track:5qi7piHIt9zwTYYBnIvfNZ,OTW,,4,2017-01-28
71,Childish Gambino,+9,81,48,72,47l9wxr6RwgoTSfnseBRcf,https://embed.spotify.com/?uri=spotify:track:47l9wxr6RwgoTSfnseBRcf,Redbone,,7,2017-01-28
72,Travis Scott,+3,76,73,73,6gBFPUFcJLzWGx4lenP6h2,https://embed.spotify.com/?uri=spotify:track:6gBFPUFcJLzWGx4lenP6h2,Goosebumps,,10,2017-01-28
73,21 Savage,+1,75,74,74,3cqZH3cqvfbV8wVbvHyPbG,https://embed.spotify.com/?uri=spotify:track:3cqZH3cqvfbV8wVbvHyPbG,Red Opps,,4,2017-01-28
74,Brett Young,-8,67,47,75,0cPpeC9kkHF1SxE4mi3s8J,https://embed.spotify.com/?uri=spotify:track:0cPpeC9kkHF1SxE4mi3s8J,Sleep Without You,http://cache.vevo.com/assets/html/embed.html?video=QM3E21606000&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,18,2017-01-28
75,Old Dominion,-10,66,59,76,7px4t7HGiuMUvFkEOpZEwp,https://embed.spotify.com/?uri=spotify:track:7px4t7HGiuMUvFkEOpZEwp,Song For Another Time,http://cache.vevo.com/assets/html/embed.html?video=USRV51600028&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,16,2017-01-28
76,Khalid,New,0,77,77,6XOin64PR2Oj4W0tO8GOQv,https://embed.spotify.com/?uri=spotify:track:6XOin64PR2Oj4W0tO8GOQv,Location,http://cache.vevo.com/assets/html/embed.html?video=USRV81600545&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,1,2017-01-28
77,Maren Morris,-4,74,74,78,4sDSkmacergclAYN5zCnMj,https://embed.spotify.com/?uri=spotify:track:4sDSkmacergclAYN5zCnMj,80s Mercedes,http://cache.vevo.com/assets/html/embed.html?video=USGQ41600057&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,9,2017-01-28
78,Chris Stapleton,-1,78,78,79,0FImli3RNN8VB3y8EYn2Xc,https://embed.spotify.com/?uri=spotify:track:0FImli3RNN8VB3y8EYn2Xc,Parachute,,4,2017-01-28
79,Eric Church Featuring Rhiannon Giddens,-1,79,79,80,0ipcmHor30Y8p6hCd8QUVq,https://embed.spotify.com/?uri=spotify:track:0ipcmHor30Y8p6hCd8QUVq,Kill A Word,,5,2017-01-28
80,Dwayne Johnson,-16,65,65,81,6U4VqEHy4n5VeiH4pQPL24,https://embed.spotify.com/?uri=spotify:track:6U4VqEHy4n5VeiH4pQPL24,You're Welcome,http://cache.vevo.com/assets/html/embed.html?video=USWV21622979&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,7,2017-01-28
81,Michael Ray,+5,87,82,82,4JjIIBNoho0V2gZjH4nEzR,https://embed.spotify.com/?uri=spotify:track:4JjIIBNoho0V2gZjH4nEzR,Think A Little Less,http://cache.vevo.com/assets/html/embed.html?video=USWBV1600292&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,3,2017-01-28
82,Chris Young Featuring Vince Gill,+9,92,83,83,081t95JRuDUrQYSS3h8iKk,https://embed.spotify.com/?uri=spotify:track:081t95JRuDUrQYSS3h8iKk,Sober Saturday Night,http://cache.vevo.com/assets/html/embed.html?video=USRV51600029&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,2,2017-01-28
83,Andy Grammer,+7,91,59,84,4nMlau89VAjmV7agkl7OY3,https://embed.spotify.com/?uri=spotify:track:4nMlau89VAjmV7agkl7OY3,Fresh Eyes,,15,2017-01-28
84,Post Malone Featuring Quavo,+5,90,83,85,0TnmrW9L8GSaBMhTtEQtCK,https://embed.spotify.com/?uri=spotify:track:0TnmrW9L8GSaBMhTtEQtCK,Congratulations,,3,2017-01-28
85,Rihanna,-3,83,83,86,6T4J1zg2NFjGHAjQCyxlG4,https://embed.spotify.com/?uri=spotify:track:6T4J1zg2NFjGHAjQCyxlG4,Sex With Me,,11,2017-01-28
86,Ugly God,+13,100,87,87,6HEIBHUirx1J0JkUD24szt,https://embed.spotify.com/?uri=spotify:track:6HEIBHUirx1J0JkUD24szt,Water,,2,2017-01-28
87,A Boogie Wit da Hoodie Featuring DJ SPINKING,+1,89,88,88,0q5DrtpnnGpOvBy5nnPMbe,https://embed.spotify.com/?uri=spotify:track:0q5DrtpnnGpOvBy5nnPMbe,Timeless,,3,2017-01-28
88,Sam Hunt,New,0,89,89,2sUKv0BT5iyyPvdMrZ1LmD,https://embed.spotify.com/?uri=spotify:track:2sUKv0BT5iyyPvdMrZ1LmD,Drinkin' Too Much,,1,2017-01-28
89,Travis Scott,+3,93,90,90,0ESJlaM8CE1jRWaNtwSNj8,https://embed.spotify.com/?uri=spotify:track:0ESJlaM8CE1jRWaNtwSNj8,Beibs In The Trap,http://cache.vevo.com/assets/html/embed.html?video=USSM21602113&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,2,2017-01-28
90,Kaleo,-6,85,85,91,7aUuoq4oMfLxaLa5GVUDHi,https://embed.spotify.com/?uri=spotify:track:7aUuoq4oMfLxaLa5GVUDHi,Way Down We Go,http://cache.vevo.com/assets/html/embed.html?video=USATV1600827&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,3,2017-01-28
91,The Chainsmokers Featuring Phoebe Ryan,-12,80,18,92,2rizacJSyD9S1IQUxUxnsK,https://embed.spotify.com/?uri=spotify:track:2rizacJSyD9S1IQUxUxnsK,All We Know,http://cache.vevo.com/assets/html/embed.html?video=USQX91602583&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,15,2017-01-28
92,Brantley Gilbert,+2,95,93,93,0swP2oU1YIwdicBy3nfgvw,https://embed.spotify.com/?uri=spotify:track:0swP2oU1YIwdicBy3nfgvw,The Weekend,http://cache.vevo.com/assets/html/embed.html?video=USLXJ1606543&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,2,2017-01-28
93,Starley,Re-Entry,0,94,94,0t47PyJgXmnUAK5obb0mM2,https://embed.spotify.com/?uri=spotify:track:0t47PyJgXmnUAK5obb0mM2,Call On Me,http://cache.vevo.com/assets/html/embed.html?video=AUCE70900406&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,2,2017-01-28
94,Brad Paisley,Re-Entry,0,70,95,1PB1crNoxv0Jezj0Y8LqO0,https://embed.spotify.com/?uri=spotify:track:1PB1crNoxv0Jezj0Y8LqO0,Today,http://cache.vevo.com/assets/html/embed.html?video=USAV61600029&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,2,2017-01-28
95,Lady Gaga,-10,86,52,96,4uhlD1p3hKRI9PLH8qX0fn,https://embed.spotify.com/?uri=spotify:track:4uhlD1p3hKRI9PLH8qX0fn,Million Reasons,http://cache.vevo.com/assets/html/embed.html?video=USUV71603712&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,10,2017-01-28
96,J. Cole,-15,82,11,97,6AGON2BGdPmPMJGiiNuuwl,https://embed.spotify.com/?uri=spotify:track:6AGON2BGdPmPMJGiiNuuwl,Immortal,,5,2017-01-28
97,Russ,Re-Entry,0,83,98,0AjrdcjDF0nrsoTzOFdXUv,https://embed.spotify.com/?uri=spotify:track:0AjrdcjDF0nrsoTzOFdXUv,What They Want,http://cache.vevo.com/assets/html/embed.html?video=USSM21601366&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,8,2017-01-28
98,Steve Aoki & Louis Tomlinson,0,99,52,99,,,Just Hold On,,5,2017-01-28
