,artist,change,lastPos,peakPos,rank,spotifyID,spotifyLink,title,videoLink,weeks,date
559,DeJ Loaf Featuring Big Sean,-4,56,47,60,0sr5LOMv4x0jmTYfe6oOvP,https://embed.spotify.com/?uri=spotify:track:0sr5LOMv4x0jmTYfe6oOvP,Back Up,http://cache.vevo.com/assets/html/embed.html?video=USSM21501445&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,15,2016-01-30
560,Jason Aldean,-7,54,54,61,71V8IUxhq9Sc6MtVFKHXQ7,https://embed.spotify.com/?uri=spotify:track:71V8IUxhq9Sc6MtVFKHXQ7,Gonna Know We Were Here,,14,2016-01-30
561,Jason Derulo,+4,66,52,62,1dl3vuXJS9anUXE7XnNP75,https://embed.spotify.com/?uri=spotify:track:1dl3vuXJS9anUXE7XnNP75,Get Ugly,http://cache.vevo.com/assets/html/embed.html?video=USWBV1501064&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,4,2016-01-30
562,Drake & Future,0,63,52,63,,,Big Rings,,17,2016-01-30
563,Jeremih,+17,81,19,64,6NLIinNi8IxKcCGHzrGCdW,https://embed.spotify.com/?uri=spotify:track:6NLIinNi8IxKcCGHzrGCdW,oui,,2,2016-01-30
564,Granger Smith,+4,69,49,65,7CsYx98MdSJGNIInlFga2I,https://embed.spotify.com/?uri=spotify:track:7CsYx98MdSJGNIInlFga2I,Backroad Song,,6,2016-01-30
565,Nelly Featuring Jeremih,+2,68,62,66,33QRsLBBdWDYgCZfWEZqR6,https://embed.spotify.com/?uri=spotify:track:33QRsLBBdWDYgCZfWEZqR6,The Fix,,16,2016-01-30
566,Justin Bieber,0,67,19,67,048thBsGA2IfiubeNWC0v2,https://embed.spotify.com/?uri=spotify:track:048thBsGA2IfiubeNWC0v2,I'll Show You,http://cache.vevo.com/assets/html/embed.html?video=USUV71503305&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,11,2016-01-30
567,Robin Schulz Featuring Francesco Yates,+19,87,44,68,3NFuE3uDOr6QUw9UZ9HzKo,https://embed.spotify.com/?uri=spotify:track:3NFuE3uDOr6QUw9UZ9HzKo,Sugar,,2,2016-01-30
568,Zac Brown Band,+2,71,52,69,5RZmUoiuMrOMQlZqy72WCG,https://embed.spotify.com/?uri=spotify:track:5RZmUoiuMrOMQlZqy72WCG,Beautiful Drug,,8,2016-01-30
569,Carrie Underwood,+6,76,42,70,37K6984YTvqKbtj8fct4K5,https://embed.spotify.com/?uri=spotify:track:37K6984YTvqKbtj8fct4K5,Heartbeat,http://cache.vevo.com/assets/html/embed.html?video=GBE431500061&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,2,2016-01-30
570,Kevin Gates,+22,93,17,71,6VcAvPi9QbnUO42pQy6WVN,https://embed.spotify.com/?uri=spotify:track:6VcAvPi9QbnUO42pQy6WVN,2 Phones,http://cache.vevo.com/assets/html/embed.html?video=USATV1501910&partnerId=0bcf11f5-81bc-469a-a74f-b370f19def6e&siteSection=billboard_billboard.com,2,2016-01-30
571,Keith Urban,+2,74,54,72,6Eg5dHSwI9PZxs1RgJF0kt,https://embed.spotify.com/?uri=spotify:track:6Eg5dHSwI9PZxs1RgJF0kt,Break On Me.,,3,2016-01-30
572,Missy Elliott Featuring Pharrell Williams,-8,65,22,73,7IAa7vUJ11STN7le8XaxsH,https://embed.spotify.com/?uri=spotify:track:7IAa7vUJ11STN7le8XaxsH,WTF (Where They From),,10,2016-01-30
